No,GEO,Name,Type,Ingredient,,,,,Tag,,
,,,,1,2,3,4,5,1,2,3
1,Austrian,Linzer Torte,Cake,Hazelnut,Currant,Cinammon,Lemon,Flour,,,
2,Austrian,Punschkrapfen,Cake,Apricot,Spirit,Chocolate,Almond,Flour,,,
3,Austrian,Sachertorte,Cake,Apricot,Chocolate,Flour,Sugar,Cream,,,
4,Austrian,Germknodel,Dessert,Poppy Seed,Plum,Vanilla,Flour,Butter,,,
5,Austrian,Millirahmstrudel,Pastry,Vanilla,Raisin,Cream,Milk,Bread,,,
6,Belgian,Liege Waffle,Dessert,Vanilla,Sugar,Egg,Flour,Butter,,,
7,British,Cream Tea,Bread,Tea,Strawberry,Cream,Flour,Butter,,,
8,British,Tea And Crumpets,Bread,Tea Flour,Sugar,Milk,Flour,Butter,,,
9,British,Welsh Rarebit,Bread,Worcestershire Sauce,Beer,Mustard,Cheese,Bread,,,
10,British,Caraway Seed Cake,Cake,Caraway,Sugar,Flour,Butter,Milk,,,
11,British,Welsh Cake,Cake,Raisin,Currant,Sugar,Butter,Flour,,,
12,British,Lemon Syllabub,Dessert,Nutmeg,Wine,Lemon,Cream,Sugar,,,
13,British,Trifle,Dessert,Custard,Raspberry,Wine,Cream,Flour,,,
14,British,Queen Of Puddings,Dessert,Raspberry,Breadcrumbs,Egg,Milk,Sugar,,,
15,British,Beef Wellington,Meat,Foie Gras,Wine,Mushroom,Flour,Beef,,,
16,British,Cornish Pasty,Meat,Turnip,Potato,Onion,Beef,Flour,,,
17,British,English Breakfast,Meat,Blood Sausage,Bacon,Beans,Bread,Egg,,,
18,British,Roast Beef With Yorkshire Pudding,Meat,Gravy,Rosemary,Flour,Egg,Beef,,,
19,British,Roast Lamb With Mint,Meat,Mint,Gravy,Rosemary,Lamb,Potato,,,
20,British,Bakewell Tart,Pastry,Strawberry,Almond,Egg,Sugar,Flour,,,
21,British,Gypsy Tart,Pastry,Flour,Milk,Sugar,,,,,
22,British,Manchester Tart,Pastry,Custard,Raspberry,Cherry,Flour,Coconut,,,
23,British,Kedgeree,Rice,Parsley,Curry,Butter,Fish,Rice,,,
24,British,Fish And Chips,Seafood,Beer,Potato,Oil,Fish,Flour,,,
25,British,Stargazy Pie,Seafood,Bacon,Egg,Fish,Flour,Potato,,,
26,Bulgarian,Tarator,Soup,Yogurt,Dill,Cucumber,Olive Oil,Garlic,,,
27,Bulgarian,Kavarma,Stew,Bay Leaf,Wine,Scallion,Tomato,Pork,,,
28,Burmese,Mohinga,Noodles,Shrimp Paste,Chili,Fish Sauce,Fish,Vermicelli,,,
